Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
G3_6	1044	0.999	151.298	14.492%	22.731	5.747%	0.05156	0.998
G3_7	1587	0.999	169.832	10.701%	25.583	3.867%	0.034	0.999
G3_8	2192	0.999	212.235	9.682%	35.236	3.734%	0.02365	0.999
G3_9	3946	1.0	257.381	6.523%	37.669	2.237%	0.01097	1.0
G3_10	3394	1.0	252.302	7.434%	39.309	2.919%	0.01108	1.0
G3_11	4342	1.0	335.889	7.736%	49.05	2.985%	0.01299	1.0
G3_12	4806	0.999	423.25	8.807%	96.136	4.311%	0.0161	0.999
G3_13	2750	0.999	258.4	9.396%	39.025	4.019%	0.01642	0.999
G3_14	2005	0.999	190.453	9.499%	27.858	3.591%	0.02357	0.999
G3_15	3893	1.0	220.786	5.671%	31.958	2.067%	0.01043	1.0
G3_16	957	0.999	114.046	11.917%	17.334	4.246%	0.05574	0.999
G3_17	1298	0.998	184.615	14.223%	27.684	6.518%	0.04104	0.998
G3_18	2578	0.999	252.101	9.779%	44.953	4.004%	0.02344	0.999
G3_19	1631	0.999	179.227	10.989%	25.764	4.279%	0.02887	0.999
G3_20	3862	1.0	273.091	7.071%	41.585	2.565%	0.01465	1.0
G3_21	1153	0.999	152.267	13.206%	21.611	5.114%	0.04686	0.999
G3_22	3197	0.999	310.382	9.709%	52.925	4.922%	0.01687	0.999
G3_23	3413	1.0	280.908	8.231%	46.572	3.271%	0.02302	1.0
G3_24	1079	0.999	138.985	12.881%	18.94	4.576%	0.0408	0.999
G3_25	4095	1.0	206.685	5.047%	28.842	1.45%	0.00872	1.0
G3_26	691	0.999	105.708	15.298%	15.0	4.994%	0.05861	0.999
G3_27	1213	0.999	167.828	13.836%	22.825	4.784%	0.05037	0.999
G3_28	3180	1.0	190.151	5.98%	28.966	1.924%	0.01157	1.0
G3_29	1714	0.999	173.684	10.133%	24.362	3.29%	0.02715	0.999
G3_30	5047	1.0	377.942	7.488%	68.979	3.054%	0.01197	1.0
G3_31	2940	1.0	238.94	8.127%	38.522	3.022%	0.0201	1.0
G3_32	683	0.998	113.983	16.689%	17.352	5.74%	0.07341	0.998
G3_33	2164	1.0	161.186	7.449%	26.15	2.708%	0.02089	1.0
G3_34	4961	1.0	297.353	5.994%	49.163	2.247%	0.00807	1.0
G3_35	1992	1.0	164.488	8.257%	23.715	2.853%	0.02384	1.0
G3_36	659	0.999	105.107	15.949%	14.671	5.507%	0.07299	0.998
G3_37	3844	1.0	290.589	7.56%	50.415	3.18%	0.01561	1.0
G3_38	2100	1.0	186.705	8.891%	26.14	3.218%	0.01851	0.999
G3_39	3055	0.999	332.648	10.889%	69.967	4.986%	0.02393	0.999
G3_40	4104	1.0	273.136	6.655%	42.871	2.838%	0.01229	1.0
G3_41	4147	1.0	320.112	7.719%	46.526	2.921%	0.01335	1.0
G3_42	2484	0.999	256.15	10.312%	51.27	4.502%	0.02589	0.999
G3_43	4102	1.0	327.126	7.975%	53.619	3.166%	0.01463	0.999
G3_44	2424	1.0	180.771	7.458%	28.18	2.465%	0.01751	1.0
G3_45	1273	0.999	137.729	10.819%	18.844	3.835%	0.04032	0.999
G3_46	1583	0.999	158.228	9.995%	22.522	3.661%	0.02331	0.999
G3_47	1494	1.0	133.965	8.967%	19.376	2.993%	0.03112	1.0
G3_48	1440	1.0	132.228	9.183%	18.351	2.472%	0.03963	1.0
G3_49	2810	0.999	288.26	10.258%	54.999	4.924%	0.01897	0.999
G3_50	2946	1.0	222.854	7.565%	35.504	3.132%	0.01724	0.999
G3_51	3774	1.0	281.105	7.448%	40.617	2.796%	0.01251	1.0
G3_52	1839	0.999	214.864	11.684%	40.866	5.194%	0.03081	0.999
G3_53	1326	0.998	179.762	13.557%	32.839	5.641%	0.04273	0.998
G3_54	871	0.999	128.762	14.783%	18.293	5.118%	0.05735	0.999
G3_55	4792	1.0	256.536	5.353%	35.675	1.633%	0.00828	1.0
