Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
G2_22	2.80E+01	1.15E+00	9.47E+00	3.33E+01	2.49E+00	2.57E+01	2.06E+01	1.59E+01
G2_23	8.00E+01	2.19E+00	5.37E+01	9.22E+01	5.46E+00	4.49E+01	2.47E+01	2.57E+01
G2_24	9.30E+01	6.37E-01	2.64E+01	8.50E+01	5.87E+00	4.49E+01	2.04E+01	1.54E+01
G2_25	1.74E+02	2.89E+00	5.87E+01	2.02E+02	4.30E+00	4.38E+01	3.70E+01	2.94E+01
G2_26	9.43E+01	1.33E+00	4.85E+01	1.17E+02	3.41E+00	5.33E+01	2.28E+01	2.85E+01
G2_27	1.97E+02	4.25E+00	5.76E+01	1.77E+02	7.21E+00	6.76E+01	4.99E+01	1.29E+01
G2_28	2.08E+02	6.18E+00	4.92E+01	2.12E+02	1.16E+01	8.06E+01	4.91E+01	7.13E+01
G2_29	2.39E+02	4.28E+00	8.83E+01	2.22E+02	9.84E+00	6.49E+01	4.81E+01	7.05E+01
G2_30	2.70E+02	6.29E+00	8.56E+01	2.45E+02	8.53E+00	1.26E+02	5.35E+01	3.08E+01
G2_31	3.56E+01	5.78E-01	3.20E+01	3.88E+01	1.41E+00	3.10E+01	1.32E+01	1.72E+01
G2_32	9.82E+01	2.93E+00	6.72E+01	9.40E+01	4.26E+00	4.26E+01	3.60E+01	2.07E+01
G2_33	1.30E+02	2.35E+00	3.36E+01	9.92E+01	2.92E+00	3.74E+01	2.70E+01	4.24E+01
G2_34	5.65E+01	3.33E+00	2.53E+01	4.55E+01	6.15E-01	2.99E+01	1.96E+01	2.04E+01
G2_35	1.65E+02	4.04E+00	4.75E+01	1.71E+02	8.32E+00	4.42E+01	3.39E+01	3.77E+01
G2_36	8.00E+01	2.52E+00	3.17E+01	6.89E+01	5.56E+00	4.00E+01	3.63E+01	3.99E+01
G2_37	9.03E+01	2.06E+00	5.15E+01	9.17E+01	5.74E+00	5.96E+01	2.57E+01	4.13E+01
G2_38	1.38E+02	3.66E+00	4.53E+01	1.20E+02	5.84E+00	6.33E+01	4.21E+01	5.65E+01
G2_39	1.85E+02	3.50E+00	5.56E+01	1.86E+02	6.87E+00	5.64E+01	5.97E+01	4.86E+01
G2_40	5.68E+01	1.16E+00	2.62E+01	6.36E+01	2.86E+00	2.90E+01	2.05E+01	4.31E+00
G2_41	7.44E+01	2.24E+00	3.69E+01	9.25E+01	5.94E+00	3.88E+01	3.37E+01	3.96E+01
G2_42	2.08E+02	4.47E+00	6.25E+01	2.04E+02	6.61E+00	4.60E+01	3.99E+01	5.22E+01
G2_43	1.21E+02	2.49E+00	3.90E+01	1.15E+02	6.56E+00	4.23E+01	2.25E+01	1.76E+01
G2_44	2.14E+02	2.97E+00	6.01E+01	2.38E+02	7.34E+00	4.48E+01	3.29E+01	4.27E+01
G2_45	2.10E+02	4.94E+00	4.21E+01	2.26E+02	7.54E+00	2.96E+01	3.49E+01	3.17E+01
G2_46	9.38E+01	2.75E+00	2.91E+01	8.94E+01	3.68E+00	2.35E+01	2.55E+01	2.33E+01
G2_47	5.07E+01	1.60E+00	2.68E+01	4.98E+01	4.89E+00	2.45E+01	5.51E+00	1.05E+01
G2_48	9.53E+01	3.88E+00	7.10E+01	8.68E+01	5.11E+00	7.47E+01	2.52E+01	3.24E+01
G2_49	1.49E+02	5.24E+00	5.45E+01	1.63E+02	7.58E+00	3.81E+01	3.90E+01	2.63E+01
G2_50	2.54E+02	5.23E+00	5.36E+01	2.43E+02	3.89E+00	5.80E+01	4.27E+01	6.94E+01
G2_51	2.00E+02	4.36E+00	5.64E+01	2.05E+02	6.15E+00	5.70E+01	5.07E+01	4.31E+01
G2_52	1.88E+02	2.74E+00	6.37E+01	1.90E+02	6.76E+00	3.80E+01	5.18E+01	6.85E+01
G2_53	7.12E+01	1.97E+00	4.61E+01	8.20E+01	3.71E+00	2.71E+01	2.58E+01	1.28E+01
G2_54	2.00E+02	2.13E+00	7.53E+01	2.16E+02	9.36E+00	6.13E+01	2.86E+01	2.44E+01
G2_55	1.06E+02	4.23E+00	8.13E+01	1.04E+02	6.43E+00	5.36E+01	3.81E+01	2.50E+01
G2_56	2.32E+02	8.58E+00	5.06E+01	2.43E+02	8.02E+00	7.37E+01	6.38E+01	9.71E+01
G2_57	1.40E+02	2.41E+00	5.87E+01	1.40E+02	4.13E+00	7.64E+01	1.92E+01	3.08E+01
G2_58	1.26E+02	7.00E+00	2.87E+01	1.41E+02	8.71E+00	5.26E+01	6.55E+01	6.95E+01
G2_59	6.89E+01	2.30E+00	2.92E+01	7.09E+01	3.64E+00	2.36E+01	2.32E+01	2.88E+01
G2_60	1.24E+02	3.41E+00	5.86E+01	1.04E+02	8.26E+00	5.46E+01	3.26E+01	4.40E+01
G2_61	2.58E+02	4.05E+00	1.01E+02	2.40E+02	7.64E+00	1.38E+02	5.74E+01	5.30E+01
G2_62	2.52E+01	7.77E-01	1.78E+01	2.57E+01	2.90E+00	1.88E+01	1.41E+01	2.71E+01
G2_63	1.03E+02	2.32E+00	3.84E+01	9.75E+01	3.41E+00	3.13E+01	1.31E+01	1.90E+01
G2_64	1.97E+02	5.00E+00	5.20E+01	2.08E+02	7.61E+00	5.24E+01	3.53E+01	4.15E+01
G2_65	1.13E+02	2.07E+00	3.84E+01	1.03E+02	5.28E+00	5.07E+01	2.69E+01	1.47E+01
G2_66	3.10E+02	5.68E+00	6.90E+01	3.53E+02	6.78E+00	5.08E+01	1.91E+01	3.48E+01
G2_67	1.10E+02	4.45E+00	4.40E+01	1.04E+02	6.15E+00	4.41E+01	4.12E+01	5.71E+01
G2_68	1.69E+02	4.24E+00	6.19E+01	1.41E+02	7.63E+00	8.20E+01	3.00E+01	3.66E+01
G2_69	7.17E+01	4.65E+00	3.39E+01	6.90E+01	3.91E+00	3.84E+01	2.44E+01	2.14E+01
G2_70	2.45E+02	3.44E+00	9.29E+01	2.75E+02	8.04E+00	7.07E+01	6.79E+01	6.99E+01
G2_71	5.88E+01	2.18E+00	3.93E+01	6.44E+01	5.93E+00	3.37E+01	3.16E+01	2.80E+01
G2_72	1.44E+02	4.89E+00	5.99E+01	1.44E+02	6.38E+00	4.10E+01	4.52E+01	5.16E+01
G2_73	1.27E+02	2.18E+00	2.49E+01	1.17E+02	6.37E+00	5.55E+01	4.02E+01	6.25E+01
G3_1	3.41E+00	1.36E+02	5.02E+01	2.72E+01	2.76E+00	6.21E+01	2.35E+01	1.33E+02
G3_2	6.73E+00	2.05E+02	1.18E+02	8.65E+01	5.74E+00	7.79E+01	4.51E+01	1.97E+02
G3_3	1.53E+00	5.82E+01	2.04E+01	1.31E+01	1.19E+00	1.50E+01	1.03E+01	4.98E+01
G3_4	7.10E+00	3.61E+02	5.61E+01	8.62E+01	9.19E+00	6.41E+01	4.54E+01	2.88E+02
G3_5	2.21E+00	5.46E+01	4.12E+01	2.06E+01	5.89E+00	2.99E+01	2.05E+01	3.82E+01
G3_6	2.48E+00	6.22E+01	2.79E+01	1.69E+01	3.65E+00	2.66E+01	1.24E+01	6.70E+01
G3_7	1.74E+00	1.23E+02	5.23E+01	4.48E+01	6.12E+00	2.13E+01	8.00E+00	1.03E+02
G3_8	5.74E+00	1.54E+02	2.18E+01	4.15E+01	5.49E+00	2.27E+01	2.43E+01	1.46E+02
G3_9	5.66E+00	1.82E+02	6.48E+01	7.64E+01	5.82E+00	5.10E+01	4.75E+01	1.81E+02
G3_10	5.51E+00	1.59E+02	5.82E+01	6.47E+01	4.22E+00	4.89E+01	2.49E+01	1.44E+02
G3_11	1.00E+01	2.47E+02	9.83E+01	1.19E+02	7.87E+00	5.87E+01	3.26E+01	2.31E+02
G3_12	4.16E+00	5.16E+01	8.01E+01	6.02E+01	3.98E+00	6.31E+01	1.19E+01	8.46E+01
G3_13	6.81E+00	1.35E+02	6.58E+01	6.46E+01	3.62E+00	5.73E+01	4.38E+01	9.58E+01
G3_14	2.02E+00	1.21E+02	5.91E+01	5.81E+01	2.73E+00	2.75E+01	2.31E+01	1.30E+02
G3_15	3.78E+00	1.68E+02	8.01E+01	1.12E+02	7.47E+00	3.98E+01	2.82E+01	2.08E+02
G3_16	1.45E+00	3.35E+01	2.58E+01	3.53E+01	1.38E+00	1.98E+01	1.02E+01	3.11E+01
G3_17	1.34E+00	8.10E+01	4.19E+01	4.04E+01	5.11E+00	4.49E+01	2.45E+01	6.74E+01
G3_18	2.18E+00	1.73E+02	3.79E+01	1.88E+01	4.27E+00	3.81E+01	1.72E+01	1.63E+02
G3_19	3.88E+00	9.22E+01	4.03E+01	2.32E+01	4.56E+00	2.56E+01	1.40E+01	9.27E+01
G3_20	5.74E+00	1.19E+02	7.66E+01	3.80E+01	5.63E+00	4.07E+01	1.93E+01	1.25E+02
G3_21	3.39E+00	8.19E+01	2.79E+01	2.87E+01	1.69E+00	2.86E+01	1.54E+01	6.21E+01
G3_22	7.20E+00	1.54E+02	9.69E+01	8.82E+01	6.26E+00	4.41E+01	2.76E+01	1.23E+02
G3_23	3.44E+00	1.31E+02	1.03E+02	9.98E+01	3.93E+00	5.52E+01	2.45E+01	1.45E+02
G3_24	3.95E+00	3.58E+01	2.35E+01	2.26E+01	4.66E+00	2.16E+01	1.59E+01	3.26E+01
G3_25	6.17E+00	2.50E+02	3.13E+01	6.30E+01	4.40E+00	2.71E+01	3.03E+01	2.35E+02
G3_26	0.00E+00	4.64E+01	1.25E+01	1.31E+01	1.69E+00	1.35E+01	1.43E+01	3.90E+01
G3_27	2.36E+00	8.19E+01	3.31E+01	1.52E+01	4.53E+00	2.87E+01	2.21E+01	5.73E+01
G3_28	4.34E+00	1.61E+02	2.83E+01	3.09E+01	2.30E+00	3.02E+01	2.52E+01	1.37E+02
G3_29	1.43E+00	1.17E+02	2.92E+01	1.38E+01	5.85E+00	2.34E+01	1.76E+01	8.85E+01
G3_30	7.79E+00	2.42E+02	7.36E+01	8.68E+01	6.12E+00	3.66E+01	2.47E+01	2.62E+02
G3_31	5.36E+00	1.90E+02	4.03E+01	3.22E+01	3.26E+00	1.72E+01	1.70E+01	1.89E+02
G3_32	3.27E+00	3.76E+01	1.27E+01	1.42E+01	3.79E-01	1.61E+01	8.64E+00	3.21E+01
G3_33	3.25E+00	1.53E+02	4.28E+01	6.45E+01	3.23E+00	2.73E+01	1.32E+01	1.30E+02
G3_34	8.58E+00	2.19E+02	5.78E+01	7.52E+01	6.67E+00	3.03E+01	3.80E+01	1.90E+02
G3_35	4.03E+00	1.44E+02	3.58E+01	3.64E+01	3.69E+00	3.24E+01	2.37E+01	1.45E+02
G3_36	1.19E+00	2.78E+01	1.44E+01	1.49E+01	1.03E+00	1.25E+01	8.45E+00	2.99E+01
G3_37	3.79E+00	1.67E+02	1.26E+02	1.21E+02	4.23E+00	7.74E+01	1.07E+01	1.66E+02
G3_38	3.41E+00	5.69E+01	2.56E+01	3.21E+01	2.81E+00	3.07E+01	2.85E+01	4.47E+01
G3_39	2.41E+00	1.89E+02	2.88E+01	4.97E+01	8.50E+00	5.04E+01	2.90E+01	1.61E+02
G3_40	6.84E+00	6.94E+01	1.10E+02	9.28E+01	5.46E+00	4.62E+01	3.37E+01	3.72E+01
G3_41	1.01E+01	2.33E+02	4.66E+01	7.12E+01	7.15E+00	4.84E+01	4.41E+01	2.43E+02
G3_42	1.08E+00	6.25E+01	7.09E+01	3.20E+01	3.48E+00	3.54E+01	1.41E+01	5.07E+01
G3_43	8.68E+00	2.24E+02	9.14E+01	3.93E+01	8.92E+00	6.53E+01	5.76E+01	1.92E+02
G3_44	3.36E+00	1.90E+02	2.91E+01	3.05E+01	2.92E+00	2.45E+01	2.03E+01	1.90E+02
G3_45	5.86E-01	4.08E+01	3.20E+01	2.60E+01	2.07E+00	2.96E+01	1.64E+01	4.29E+01
G3_46	5.19E+00	1.27E+02	3.91E+01	4.18E+01	3.65E+00	1.93E+01	2.03E+01	9.69E+01
G3_47	2.69E+00	7.69E+01	3.96E+01	5.11E+01	2.53E+00	3.21E+01	1.18E+01	6.66E+01
G3_48	1.51E+00	1.15E+02	8.99E+00	1.51E+01	3.54E+00	1.57E+01	1.43E+01	1.20E+02
G3_49	4.46E+00	1.39E+02	6.85E+01	5.87E+01	8.17E+00	3.55E+01	2.11E+01	1.26E+02
G3_50	5.01E+00	2.10E+02	9.11E+01	1.20E+02	5.73E+00	4.15E+01	2.88E+01	2.03E+02
G3_51	4.98E+00	1.25E+02	5.56E+01	7.84E+01	2.67E+00	6.55E+01	4.04E+01	1.27E+02
G3_52	4.41E+00	1.31E+02	2.70E+01	5.04E+01	2.63E+00	2.82E+01	1.85E+01	1.08E+02
G3_53	1.92E+00	5.42E+01	2.99E+01	1.13E+01	3.15E+00	2.61E+01	1.76E+01	4.64E+01
G3_54	2.54E+00	2.45E+01	1.67E+01	5.00E+00	2.39E+00	2.41E+01	6.97E+00	2.42E+01
G3_55	6.19E+00	1.92E+02	5.62E+01	7.35E+01	5.22E+00	5.79E+01	2.34E+01	2.01E+02
