Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
G3_18	2.19E+00	2.04E+02	5.04E+01	3.88E+01	1.30E+01	5.82E+00	2.37E+02
G3_19	2.23E+00	5.17E+01	3.02E+01	3.77E+01	1.32E+01	3.47E+00	5.29E+01
G3_20	6.33E+00	2.85E+02	7.92E+01	5.78E+01	2.76E+01	6.34E+00	3.50E+02
G3_21	3.46E+00	3.86E+01	3.37E+01	3.67E+01	1.62E+01	1.63E+00	3.36E+01
G3_22	5.48E+00	1.09E+02	4.94E+01	6.50E+01	3.95E+01	4.77E+00	1.11E+02
G3_23	1.72E+00	2.81E+02	8.75E+01	6.19E+01	1.83E+01	4.03E+00	3.54E+02
G3_24	3.36E+00	6.17E+01	2.89E+01	3.07E+01	1.04E+01	5.40E+00	6.97E+01
G3_25	4.59E+00	2.96E+02	3.26E+01	4.84E+01	3.05E+01	4.87E+00	3.32E+02
G3_26	0.00E+00	2.65E+01	1.70E+01	1.40E+01	1.14E+01	2.03E+00	2.68E+01
G3_27	2.78E+00	5.46E+01	4.27E+01	3.89E+01	1.76E+01	4.26E+00	6.18E+01
G3_28	4.37E+00	1.88E+02	3.59E+01	3.55E+01	3.00E+01	2.89E+00	1.96E+02
G3_29	1.59E+00	7.12E+01	4.25E+01	3.38E+01	1.32E+01	5.62E+00	8.06E+01
G3_30	5.34E+00	3.72E+02	8.60E+01	6.17E+01	3.64E+01	5.13E+00	4.41E+02
G3_31	3.37E+00	2.44E+02	5.77E+01	4.40E+01	2.05E+01	3.30E+00	3.07E+02
G3_32	1.56E+00	2.94E+01	1.57E+01	1.60E+01	8.44E+00	3.06E-01	3.36E+01
G3_33	1.99E+00	1.25E+02	4.25E+01	1.68E+01	2.13E+01	3.80E+00	1.46E+02
G3_34	8.30E+00	3.18E+02	6.88E+01	6.08E+01	4.12E+01	8.29E+00	3.45E+02
G3_35	3.48E+00	1.26E+02	4.04E+01	4.69E+01	1.29E+01	3.62E+00	1.38E+02
G3_36	1.61E+00	5.50E+01	2.04E+01	1.27E+01	9.95E+00	1.06E+00	6.82E+01
G3_37	2.39E+00	3.04E+02	1.13E+02	5.98E+01	2.49E+01	4.61E+00	3.79E+02
G3_38	2.77E+00	9.34E+01	3.14E+01	4.75E+01	3.18E+01	2.17E+00	9.15E+01
G3_39	2.13E+00	1.39E+02	8.49E+01	6.75E+01	1.57E+01	7.46E+00	1.44E+02
G3_40	4.78E+00	2.91E+02	8.18E+01	8.06E+01	2.99E+01	7.00E+00	3.70E+02
G3_41	5.61E+00	1.41E+02	8.33E+01	8.08E+01	5.10E+01	6.98E+00	1.37E+02
G3_42	9.29E-01	2.53E+02	6.77E+01	1.09E+01	1.21E+01	2.04E+00	3.16E+02
G3_43	5.61E+00	3.36E+02	6.42E+01	7.63E+01	5.29E+01	8.28E+00	4.19E+02
G3_44	3.37E+00	1.68E+02	2.81E+01	3.33E+01	2.44E+01	3.58E+00	1.85E+02
G3_45	8.79E-01	6.91E+01	1.83E+01	3.91E+01	1.69E+01	2.86E+00	7.74E+01
G3_46	2.17E+00	5.54E+01	2.83E+01	4.63E+01	1.54E+01	3.48E+00	5.00E+01
G3_47	2.00E+00	9.24E+01	1.21E+01	2.62E+01	1.48E+01	3.23E+00	1.00E+02
G3_48	1.39E+00	8.53E+01	6.91E+00	1.83E+01	1.65E+01	3.44E+00	9.23E+01
G3_49	3.57E+00	2.42E+02	6.98E+01	3.73E+01	2.22E+01	7.21E+00	3.01E+02
G3_50	3.62E+00	1.83E+02	5.18E+01	6.74E+01	3.74E+01	4.73E+00	2.16E+02
G3_51	5.48E+00	2.16E+02	4.03E+01	5.65E+01	3.25E+01	5.41E+00	2.39E+02
G3_52	3.52E+00	7.83E+01	3.23E+01	3.67E+01	1.68E+01	2.54E+00	8.07E+01
G3_53	1.98E+00	1.14E+02	3.43E+01	3.74E+01	1.63E+01	3.47E+00	1.34E+02
G3_54	2.12E+00	5.63E+01	1.61E+01	1.70E+01	8.19E+00	2.85E+00	6.10E+01
G3_55	4.28E+00	3.01E+02	7.61E+01	5.53E+01	4.25E+01	5.93E+00	3.29E+02
