Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
G2_13	1.19E+02	5.19E+01	2.86E+00	3.21E+01	3.57E+00	1.69E+02
G2_14	1.59E+01	2.85E+01	2.48E+00	3.26E+01	2.96E+00	5.54E+01
G2_15	3.95E+01	5.96E+01	2.16E+00	2.70E+01	6.83E+00	8.38E+01
G2_16	4.52E+01	3.33E+01	3.11E+00	2.74E+01	1.05E+01	7.19E+01
G2_17	6.03E+01	6.54E+01	2.96E+00	2.82E+01	3.41E+00	9.94E+01
G2_18	1.00E+02	6.65E+01	3.18E+00	3.34E+01	4.13E+00	1.55E+02
G2_19	6.94E+01	4.19E+01	2.19E+00	3.26E+01	6.45E+00	1.09E+02
G2_20	7.95E+01	6.82E+01	3.29E+00	3.65E+01	1.39E+01	1.12E+02
G2_21	5.77E+01	8.90E+01	3.80E+00	6.95E+01	1.26E+01	1.26E+02
G2_22	5.23E+00	1.09E+01	1.18E+00	1.64E+01	3.41E+00	2.16E+01
G2_23	3.02E+01	4.28E+01	1.19E+00	2.25E+01	6.96E+00	5.19E+01
G2_24	2.89E+01	3.74E+01	8.83E-01	2.46E+01	5.83E+00	5.11E+01
G2_25	8.95E+01	5.00E+01	2.37E+00	3.50E+01	6.48E+00	1.24E+02
G2_26	3.88E+01	4.73E+01	1.22E+00	2.85E+01	3.58E+00	6.85E+01
G2_27	1.13E+02	7.62E+01	5.22E+00	4.90E+01	9.51E+00	1.59E+02
G2_28	1.27E+02	9.84E+01	4.55E+00	5.10E+01	1.42E+01	1.98E+02
G2_29	1.38E+02	7.91E+01	4.22E+00	6.10E+01	1.24E+01	2.09E+02
G2_30	6.92E+01	9.05E+01	5.69E+00	3.54E+01	7.83E+00	1.32E+02
G2_31	1.49E+01	1.55E+01	7.22E-01	1.61E+01	2.39E+00	2.68E+01
G2_32	2.44E+01	4.42E+01	2.97E+00	3.77E+01	6.14E+00	6.15E+01
G2_33	8.06E+01	3.45E+01	1.71E+00	2.36E+01	4.97E+00	1.01E+02
G2_34	3.25E+01	1.74E+01	2.41E+00	2.00E+01	8.60E-01	4.27E+01
G2_35	9.11E+01	7.19E+01	3.24E+00	2.86E+01	9.13E+00	1.29E+02
G2_36	1.75E+01	2.51E+01	1.33E+00	2.86E+01	6.67E+00	4.41E+01
G2_37	5.50E+01	6.16E+01	1.55E+00	2.84E+01	8.52E+00	1.06E+02
G2_38	2.98E+01	6.67E+01	2.71E+00	5.26E+01	8.38E+00	8.78E+01
G2_39	4.04E+01	5.20E+01	2.01E+00	4.49E+01	1.20E+01	8.42E+01
G2_40	1.44E+01	1.87E+01	1.39E+00	1.53E+01	2.42E+00	2.41E+01
G2_41	3.04E+01	3.15E+01	1.77E+00	2.87E+01	7.07E+00	5.69E+01
G2_42	1.28E+02	6.86E+01	4.00E+00	4.69E+01	9.57E+00	1.75E+02
G2_43	4.66E+01	3.60E+01	2.33E+00	2.68E+01	4.95E+00	7.49E+01
G2_44	1.30E+02	6.41E+01	2.04E+00	3.36E+01	8.43E+00	1.81E+02
G2_45	9.73E+01	6.55E+01	3.18E+00	5.28E+01	7.89E+00	1.43E+02
G2_46	5.11E+01	4.28E+01	2.64E+00	1.62E+01	5.06E+00	8.24E+01
G2_47	5.52E+01	2.89E+01	1.69E+00	1.11E+01	4.61E+00	7.72E+01
G2_48	8.32E+01	6.08E+01	4.93E+00	3.42E+01	7.65E+00	1.14E+02
G2_49	3.63E+01	4.25E+01	3.65E+00	4.11E+01	6.75E+00	6.28E+01
G2_50	1.33E+02	7.33E+01	5.00E+00	4.18E+01	9.24E+00	1.88E+02
G2_51	4.07E+01	5.26E+01	2.35E+00	4.19E+01	6.45E+00	8.91E+01
G2_52	1.21E+02	3.90E+01	2.73E+00	5.33E+01	6.78E+00	1.65E+02
G2_53	1.60E+01	3.97E+01	2.70E+00	1.25E+01	5.22E+00	4.71E+01
G2_54	9.75E+01	6.48E+01	3.28E+00	3.18E+01	1.01E+01	1.35E+02
G2_55	6.12E+01	6.10E+01	3.26E+00	3.45E+01	6.45E+00	1.03E+02
G2_56	5.62E+01	7.66E+01	6.77E+00	7.71E+01	1.05E+01	1.34E+02
G2_57	2.94E+01	3.96E+01	2.52E+00	3.20E+01	7.22E+00	3.31E+01
G2_58	3.47E+01	2.72E+01	2.91E+00	6.43E+01	1.10E+01	8.79E+01
G2_59	1.68E+01	2.98E+01	2.05E+00	1.91E+01	4.56E+00	4.35E+01
G2_60	8.26E+01	7.32E+01	3.49E+00	3.42E+01	8.92E+00	1.26E+02
G2_61	1.07E+02	1.15E+02	3.24E+00	3.94E+01	8.91E+00	1.90E+02
G2_62	8.34E+00	1.52E+01	8.06E-01	2.02E+01	3.24E+00	2.94E+01
G2_63	6.64E+01	3.81E+01	1.76E+00	1.78E+01	4.06E+00	8.90E+01
G2_64	9.01E+01	5.47E+01	5.21E+00	4.05E+01	1.10E+01	1.24E+02
G2_65	5.53E+01	3.16E+01	1.22E+00	2.24E+01	6.20E+00	7.31E+01
G2_66	1.57E+02	9.57E+01	5.35E+00	4.63E+01	9.28E+00	2.27E+02
G2_67	2.81E+01	5.51E+01	2.98E+00	2.83E+01	9.69E+00	8.16E+01
G2_68	7.27E+01	7.77E+01	4.92E+00	3.84E+01	1.08E+01	1.28E+02
G2_69	3.29E+01	6.40E+01	4.48E+00	2.92E+01	4.63E+00	7.59E+01
G2_70	1.25E+02	9.72E+01	4.18E+00	4.60E+01	9.69E+00	1.84E+02
G2_71	4.88E+01	4.90E+01	2.73E+00	2.73E+01	5.92E+00	8.13E+01
G2_72	6.37E+01	4.59E+01	3.58E+00	4.91E+01	5.71E+00	1.13E+02
G2_73	6.94E+01	3.86E+01	3.13E+00	3.96E+01	9.33E+00	1.07E+02
G3_1	2.27E+00	8.24E+01	7.72E+01	2.83E+01	4.92E+00	1.02E+02
G3_2	4.77E+00	9.71E+01	4.15E+02	5.58E+01	7.04E+00	4.46E+02
G3_3	1.25E+00	2.18E+01	4.22E+01	1.05E+01	1.69E+00	4.70E+01
G3_4	4.04E+00	1.42E+02	1.35E+02	6.80E+01	9.33E+00	1.05E+02
G3_5	2.28E+00	3.92E+01	1.48E+02	1.88E+01	7.23E+00	1.57E+02
G3_6	2.50E+00	3.05E+01	8.53E+01	1.64E+01	3.81E+00	1.00E+02
G3_7	1.49E+00	4.37E+01	1.04E+02	2.21E+01	3.59E+00	1.20E+02
G3_8	3.93E+00	3.23E+01	1.45E+02	2.59E+01	5.11E+00	1.50E+02
G3_9	4.47E+00	6.19E+01	2.53E+02	6.42E+01	8.85E+00	2.71E+02
G3_10	4.20E+00	7.93E+01	1.71E+02	2.59E+01	5.83E+00	1.79E+02
G3_11	5.70E+00	7.89E+01	2.61E+02	4.75E+01	8.64E+00	2.79E+02
G3_12	3.49E+00	1.31E+02	4.79E+02	2.28E+01	5.35E+00	5.66E+02
G3_13	6.13E+00	8.05E+01	1.20E+02	4.49E+01	5.05E+00	1.19E+02
G3_14	1.69E+00	6.94E+01	1.57E+02	2.18E+01	3.22E+00	1.89E+02
G3_15	3.39E+00	8.57E+01	2.81E+02	1.97E+01	7.44E+00	3.25E+02
G3_16	1.65E+00	2.39E+01	6.92E+01	6.74E+00	1.98E+00	7.62E+01
G3_17	1.92E+00	3.91E+01	2.50E+01	1.88E+01	6.65E+00	3.29E+01
G3_18	2.18E+00	5.47E+01	2.11E+02	2.20E+01	6.60E+00	2.26E+02
G3_19	3.45E+00	2.21E+01	1.02E+02	1.30E+01	5.04E+00	1.06E+02
G3_20	4.39E+00	5.98E+01	3.23E+02	2.45E+01	7.33E+00	3.50E+02
G3_21	2.37E+00	4.94E+01	5.48E+01	1.62E+01	2.17E+00	6.43E+01
G3_22	4.99E+00	3.66E+01	1.78E+02	2.64E+01	6.48E+00	1.65E+02
G3_23	3.01E+00	7.03E+01	2.35E+02	1.56E+01	3.67E+00	2.61E+02
G3_24	2.75E+00	3.36E+01	7.08E+01	1.92E+01	5.67E+00	7.05E+01
G3_25	3.09E+00	4.99E+01	3.29E+02	3.67E+01	6.85E+00	3.42E+02
G3_26	0.00E+00	1.84E+01	5.55E+01	1.83E+01	2.36E+00	5.62E+01
G3_27	3.19E+00	3.23E+01	8.11E+01	2.03E+01	5.28E+00	8.89E+01
G3_28	4.27E+00	4.86E+01	2.65E+02	2.64E+01	3.58E+00	2.80E+02
G3_29	1.34E+00	2.58E+01	1.28E+02	1.38E+01	5.76E+00	1.30E+02
G3_30	5.23E+00	9.46E+01	3.43E+02	3.14E+01	3.48E+00	3.99E+02
G3_31	4.11E+00	7.06E+01	2.00E+02	1.96E+01	4.21E+00	2.26E+02
G3_32	2.51E+00	1.04E+01	5.00E+01	1.18E+01	4.01E-01	4.82E+01
G3_33	3.27E+00	5.67E+01	1.92E+02	2.37E+01	3.91E+00	2.24E+02
G3_34	5.62E+00	5.41E+01	3.90E+02	2.98E+01	9.49E+00	4.15E+02
G3_35	3.03E+00	6.39E+01	1.57E+02	2.57E+01	5.14E+00	1.90E+02
G3_36	1.50E+00	1.73E+01	4.88E+01	8.36E+00	1.53E+00	5.41E+01
G3_37	2.46E+00	1.44E+02	3.15E+02	3.38E+01	4.70E+00	4.04E+02
G3_38	3.82E+00	3.20E+01	1.60E+02	3.17E+01	2.94E+00	1.62E+02
G3_39	2.71E+00	1.27E+02	2.42E+02	3.31E+01	9.77E+00	2.55E+02
G3_40	5.21E+00	7.17E+01	2.85E+02	3.07E+01	6.44E+00	3.12E+02
G3_41	9.14E+00	1.39E+02	2.44E+02	6.88E+01	7.70E+00	2.49E+02
G3_42	1.30E+00	5.28E+01	2.28E+02	7.16E+00	2.67E+00	2.70E+02
G3_43	3.07E+00	1.16E+02	2.62E+02	4.77E+01	1.08E+01	2.51E+02
G3_44	2.30E+00	4.79E+01	1.64E+02	2.49E+01	4.27E+00	1.70E+02
G3_45	5.42E-01	3.68E+01	8.04E+01	2.34E+01	2.92E+00	8.21E+01
G3_46	2.40E+00	3.57E+01	6.25E+01	2.19E+01	4.14E+00	5.89E+01
G3_47	2.18E+00	4.08E+01	1.11E+02	1.52E+01	3.25E+00	1.19E+02
G3_48	1.24E+00	0.00E+00	9.98E+01	1.86E+01	4.64E+00	1.06E+02
G3_49	2.78E+00	6.84E+01	1.95E+02	1.46E+01	8.29E+00	2.21E+02
G3_50	3.86E+00	8.52E+01	1.76E+02	3.41E+01	6.45E+00	1.87E+02
G3_51	4.58E+00	7.34E+01	2.11E+02	3.88E+01	5.13E+00	1.99E+02
G3_52	3.10E+00	5.23E+01	9.80E+01	3.11E+01	2.86E+00	9.32E+01
G3_53	1.58E+00	2.20E+01	1.31E+02	1.72E+01	3.95E+00	1.33E+02
G3_54	2.41E+00	2.81E+01	4.35E+01	1.09E+01	3.11E+00	4.59E+01
G3_55	1.92E+00	7.47E+01	3.49E+02	4.38E+01	5.64E+00	3.44E+02
