Samples	SBS96A	SBS96B	SBS96C	SBS96D
G2_25	3.88E+01	1.92E+00	7.82E+01	3.96E+01
G2_26	3.36E+01	1.12E+00	5.50E+01	2.36E+01
G2_27	9.28E+01	2.69E+00	1.36E+02	4.28E+01
G2_28	7.54E+01	2.98E+00	1.37E+02	6.56E+01
G2_29	5.89E+01	2.94E+00	1.19E+02	6.52E+01
G2_30	1.13E+02	3.70E+00	1.59E+02	4.66E+01
G2_31	1.81E+01	9.19E-01	3.11E+01	1.44E+01
G2_32	5.50E+01	2.38E+00	7.43E+01	2.19E+01
G2_33	2.14E+01	1.77E+00	5.17E+01	3.30E+01
G2_34	2.19E+01	3.12E+00	4.89E+01	2.94E+01
G2_35	6.10E+01	3.10E+00	8.80E+01	2.96E+01
G2_36	2.83E+01	2.20E+00	2.45E+01	5.06E+01
G2_37	3.18E+01	1.75E+00	7.39E+01	4.69E+01
G2_38	6.18E+01	1.82E+00	1.02E+02	4.29E+01
G2_39	3.80E+01	2.60E+00	9.69E+01	6.39E+01
G2_40	2.12E+01	1.54E+00	3.04E+01	1.12E+01
G2_41	1.47E+01	1.86E+00	3.91E+01	2.66E+01
G2_42	2.64E+01	3.82E+00	6.96E+01	5.31E+01
G2_43	4.99E+01	1.72E+00	7.10E+01	2.27E+01
G2_44	2.71E+01	2.23E+00	7.22E+01	5.35E+01
G2_45	2.88E+01	2.68E+00	5.03E+01	3.25E+01
G2_46	2.94E+01	2.02E+00	4.81E+01	2.10E+01
G2_47	3.96E+01	8.67E-01	3.78E+01	4.27E+00
G2_48	5.88E+01	2.78E+00	1.21E+02	6.64E+01
G2_49	4.96E+01	3.52E+00	8.26E+01	3.16E+01
G2_50	2.72E+01	4.28E+00	8.76E+01	6.90E+01
G2_51	2.57E+01	2.28E+00	6.96E+01	4.87E+01
G2_52	6.22E+01	1.44E+00	1.06E+02	4.57E+01
G2_53	2.72E+01	2.87E+00	4.25E+01	1.47E+01
G2_54	9.87E+01	2.55E+00	1.16E+02	1.69E+01
G2_55	6.04E+01	3.00E+00	9.24E+01	3.28E+01
G2_56	2.93E+01	3.45E+00	1.02E+02	1.19E+02
G2_57	6.20E+01	2.54E+00	7.08E+01	1.41E+01
G2_58	1.04E+02	5.85E+00	1.90E+01	1.11E+02
G2_59	1.73E+01	1.68E+00	2.89E+01	1.40E+01
G2_60	8.79E+01	3.45E+00	1.15E+02	2.98E+01
G2_61	1.24E+02	2.76E+00	1.57E+02	3.56E+01
G2_62	1.93E+01	1.08E+00	3.85E+01	2.09E+01
G2_63	3.86E+01	2.33E+00	4.22E+01	5.80E+00
G2_64	5.73E+01	3.69E+00	8.94E+01	3.81E+01
G2_65	2.72E+01	1.83E+00	4.91E+01	2.64E+01
G2_66	2.95E+01	3.91E+00	6.21E+01	3.81E+01
G2_67	1.91E+01	3.97E+00	5.68E+01	6.83E+01
G2_68	9.90E+01	2.36E+00	1.24E+02	2.73E+01
G2_69	3.51E+01	3.61E+00	7.09E+01	3.95E+01
G2_70	3.90E+01	1.88E+00	8.57E+01	5.26E+01
G2_71	4.13E+01	2.41E+00	6.67E+01	2.85E+01
G2_72	4.62E+01	2.66E+00	9.42E+01	5.21E+01
G2_73	3.57E+01	3.65E+00	4.41E+01	7.03E+01
G3_1	2.27E+00	5.73E+01	8.57E+01	3.22E+01
G3_2	5.64E+00	1.30E+02	1.78E+02	5.26E+01
G3_3	1.81E+00	2.82E+01	3.69E+01	1.04E+01
G3_4	1.30E+01	8.56E+01	1.49E+02	8.85E+01
G3_5	2.07E+00	5.68E+01	7.16E+01	1.50E+01
G3_6	2.16E+00	3.38E+01	4.01E+01	1.01E+01
G3_7	1.99E+00	4.75E+01	6.00E+01	1.46E+01
G3_8	3.74E+00	4.70E+01	6.09E+01	1.92E+01
G3_9	7.00E+00	6.65E+01	1.11E+02	5.88E+01
G3_10	3.75E+00	8.77E+01	1.33E+02	5.10E+01
G3_11	5.68E+00	1.18E+02	1.66E+02	4.75E+01
G3_12	5.55E+00	1.46E+02	1.44E+02	8.14E+00
G3_13	1.18E+01	5.65E+01	1.09E+02	6.51E+01
G3_14	2.72E+00	7.57E+01	9.76E+01	2.21E+01
G3_15	2.93E+00	1.48E+02	1.62E+02	1.49E+01
G3_16	1.61E+00	3.43E+01	3.71E+01	5.29E+00
G3_17	3.59E+00	3.14E+01	5.74E+01	2.83E+01
G3_18	2.49E+00	7.70E+01	8.27E+01	7.69E+00
G3_19	3.61E+00	5.26E+01	7.48E+01	2.64E+01
G3_20	5.11E+00	1.33E+02	1.45E+02	1.71E+01
G3_21	4.60E+00	3.16E+01	5.19E+01	2.67E+01
G3_22	5.38E+00	9.65E+01	1.49E+02	6.03E+01
G3_23	5.26E+00	1.48E+02	1.57E+02	8.21E+00
G3_24	3.69E+00	2.26E+01	3.74E+01	1.90E+01
G3_25	3.25E+00	6.11E+01	6.92E+01	2.54E+01
G3_26	0.00E+00	1.38E+01	1.80E+01	1.64E+01
G3_27	5.95E+00	2.09E+01	3.90E+01	2.52E+01
G3_28	4.76E+00	3.94E+01	5.44E+01	3.12E+01
G3_29	2.12E+00	3.62E+01	5.08E+01	2.01E+01
G3_30	4.59E+00	1.35E+02	1.48E+02	1.82E+01
G3_31	4.20E+00	9.76E+01	1.06E+02	1.27E+01
G3_32	4.56E+00	9.94E+00	1.47E+01	1.40E+01
G3_33	2.62E+00	6.17E+01	6.68E+01	1.14E+01
G3_34	6.40E+00	1.02E+02	1.37E+02	4.00E+01
G3_35	3.31E+00	4.19E+01	6.19E+01	2.51E+01
G3_36	1.77E+00	2.31E+01	2.94E+01	6.87E+00
G3_37	4.07E+00	1.62E+02	1.80E+02	1.75E+01
G3_38	8.18E+00	3.92E+01	7.27E+01	5.54E+01
G3_39	2.81E+00	4.96E+01	6.46E+01	2.20E+01
G3_40	5.43E+00	1.44E+02	1.87E+02	4.50E+01
G3_41	1.37E+01	7.54E+01	1.47E+02	1.03E+02
G3_42	1.31E+00	7.89E+01	7.78E+01	3.32E+00
G3_43	3.97E+00	8.74E+01	1.25E+02	5.06E+01
G3_44	2.17E+00	3.43E+01	4.60E+01	2.80E+01
G3_45	1.21E+00	4.33E+01	5.76E+01	1.59E+01
G3_46	5.46E+00	3.65E+01	5.77E+01	3.35E+01
G3_47	2.13E+00	3.96E+01	5.07E+01	1.17E+01
G3_48	1.19E+00	2.19E+01	1.92E+01	5.10E+00
G3_49	3.47E+00	8.83E+01	1.07E+02	2.26E+01
G3_50	3.98E+00	8.98E+01	1.17E+02	2.98E+01
G3_51	6.90E+00	1.10E+02	1.41E+02	4.08E+01
G3_52	4.11E+00	3.74E+01	5.81E+01	2.63E+01
G3_53	2.08E+00	3.21E+01	3.96E+01	1.16E+01
G3_54	2.40E+00	1.64E+01	2.35E+01	1.12E+01
G3_55	5.25E+00	7.68E+01	1.17E+02	6.15E+01
